sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
HEATER HARBOUR CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1724.0,2607,52.123698,-131.0655313
HEATER HARBOUR CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1724.0,504,52.123698,-131.0655313
HEATER HARBOUR CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1724.0,4111,52.123698,-131.0655313
HIELLEN RIVER,Pink (even),810,North Haida Gwaii (even),Haida Gwaii,1576.0,3873,54.07188958,-131.7916601
HIELLEN RIVER,Pink (odd),814,North Haida Gwaii (odd),Haida Gwaii,1576.0,4859,54.07188958,-131.7916601
HIELLEN RIVER,Coho,809,Haida Gwaii-Graham Island Lowlands,Haida Gwaii,1576.0,2302,54.07188958,-131.7916601
HOBBS CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1549.0,174,53.59710361,-132.8232514
HOBBS CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1549.0,2282,53.59710361,-132.8232514
HONNA RIVER,Coho,807,East Haida Gwaii,Haida Gwaii,1511.0,2462,53.2489486,-132.1318382
HONNA RIVER,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1511.0,4922,53.2489486,-132.1318382
HONNA RIVER,Chinook,806,East Haida Gwaii,Haida Gwaii,1511.0,1553,53.2489486,-132.1318382
HONNA RIVER,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1511.0,3975,53.2489486,-132.1318382
HONNA RIVER,River sockeye,816,East Haida Gwaii (river-type),Haida Gwaii,1511.0,6029,53.2489486,-132.1318382
HONNA RIVER,Chum,804,Skidegate,Haida Gwaii,1511.0,340,53.2489486,-132.1318382
HUSTON INLET CREEKS,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1628.0,4063,52.24460054,-131.2454671
HUSTON INLET CREEKS,Chum,801,East Haida Gwaii,Haida Gwaii,1628.0,437,52.24460054,-131.2454671
HUSTON INLET CREEKS,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1628.0,4984,52.24460054,-131.2454671
HUSTON INLET CREEKS,Coho,807,East Haida Gwaii,Haida Gwaii,1628.0,2555,52.24460054,-131.2454671
HUTTON CREEK-HEAD,Coho,807,East Haida Gwaii,Haida Gwaii,1609.0,2538,52.48850489,-131.5819669
HUTTON CREEK-HEAD,Chum,801,East Haida Gwaii,Haida Gwaii,1609.0,418,52.48850489,-131.5819669
HUTTON CREEK-HEAD,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1609.0,4978,52.48850489,-131.5819669
HUTTON CREEK-HEAD,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1609.0,4051,52.48850489,-131.5819669
HUTTON CREEK-L/H,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1610.0,4052,52.50019481,-131.5538447
HUTTON CREEK-L/H,Coho,807,East Haida Gwaii,Haida Gwaii,1610.0,2539,52.50019481,-131.5538447
HUTTON CREEK-L/H,Chum,801,East Haida Gwaii,Haida Gwaii,1610.0,419,52.50019481,-131.5538447
HUTTON CREEK-L/H,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1610.0,4979,52.50019481,-131.5538447
IKEDA CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1632.0,4066,52.29467717,-131.1671047
IKEDA CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1632.0,441,52.29467717,-131.1671047
IKEDA CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1632.0,2559,52.29467717,-131.1671047
INDIAN BAY CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1533.0,2483,53.34134699,-132.5150048
INDIAN BAY CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1533.0,360,53.34134699,-132.5150048
INDIAN BAY CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1533.0,3996,53.34134699,-132.5150048
